1,Beoplay H4 2nd Gen,beoplay1.jpg,1,Bang & Olufsen,耳罩式耳機,9000,10,5,,時尚耳罩式耳機配備 Voice Assistant，可提供長時間的舒適感受和長達 19 小時的播放時間。,2020/4/22 15:44,2020/4/27 14:37
2,Beoplay H9 3rd Gen,beoplay2.jpg,2,Bang & Olufsen,耳罩式耳機,20000,10,4,,先進的主動降噪功能、25 小時播放時間與語音助理.,2020/4/22 15:44,2020/4/27 14:37
3,Beoplay H8i,beoplay3.jpg,1,Bang & Olufsen,耳罩式耳機,16000,10,5,,豪華耳罩式耳機，專為追求精湛風格和舒適性的音樂愛好者設計。可無線播放 Bang Olufsen Signature Sound 標誌性音效長達 30 小時。,2020/4/22 15:44,2020/4/27 14:37
4,Beoplay E8 3rd Gen,beoplay4.jpg,2,Bang & Olufsen,耳機,14000,10,2,,我們真正無線入耳式耳機的最新版本，具有長達 35 小時的電池使用時間、QI 認證的無線充電盒和藍牙 5.1 連線功能，可確保無縫且震憾的聆聽體驗。,2020/4/22 15:44,2020/4/27 14:37
5,Beoplay E6,beoplay5.jpg,1,Bang & Olufsen,耳機,8000,10,3,,專為活躍生活型態設計的無線入耳式耳機。Bang & Olufsen 最具代表性的美妙聲音，長達 5 小時的播放時間與外出充電。,2020/4/22 15:44,2020/4/27 14:37
6,Beoplay E8 2.0 (2nd Gen),beoplay6.jpg,2,Bang & Olufsen,耳機,12000,10,5,,無線充電、優質音效、直覺式觸控和絕佳的舒適性，體驗真正的自由。,2020/4/22 15:44,2020/4/27 14:37
7,Beoplay E6 動感活力,beoplay7.jpg,1,Bang & Olufsen,耳機,8000,10,5,,輕量、耳內、無線入耳式耳機，專為活躍主動的生活風格所設計。提供數種耳塞和耳鰭的尺寸選擇，E6 Motion 有完整的客製化服務。,2020/4/22 15:44,2020/4/27 14:37
8,Beoplay E4,beoplay8.jpg,2,Bang & Olufsen,耳機,10000,10,5,,具先進主動式降噪功能的入耳式耳機，提供直接精準的音效、無與倫比的舒適感和簡便的控制方式。,2020/4/22 15:44,2020/4/27 14:37
9,Beoplay H3,beoplay9.jpg,1,Bang & Olufsen,耳機,6000,10,5,,傳遞自然真實音效的頂級入耳式耳機。堅固耐用又輕量，專為準確性和服貼的舒適性而設計。,2020/4/22 15:44,2020/4/27 14:37
10,DT 770 STUDIO (80 Ohms),beyerdynamic_1.jpg,2,beyerdynamic,耳罩式耳機,4470,10,2,,幾十年來，全世界的專業用戶一直對我們的經典產品系列DT 770/880/990 PRO表示信任。這些設置基準的錄音室耳機有三種不同的型號，具有極詳細的分辨率和非常透明的聲音。DT 770 PRO耳機是該系列的封閉式型號，可提供最大的靈活性和您可以信賴的細膩聲音。,2020/4/22 15:44,2020/4/27 14:37
11,DT 770 PRO,beyerdynamic_2.jpg,1,beyerdynamic,耳罩式耳機,4470,10,4,,幾十年來，全世界的專業用戶一直對我們的經典產品系列DT 770/880/990 PRO表示信任。這些設置基準的錄音室耳機有三種不同的型號，具有極詳細的分辨率和非常透明的聲音。,2020/4/22 15:44,2020/4/27 14:37
12,DT 990 PRO,beyerdynamic_3.jpg,2,beyerdynamic,耳罩式耳機,4470,10,5,,幾十年來，全世界的專業用戶一直對我們的經典產品系列DT 770/880/990 PRO表示信任。這些設置基準的錄音室耳機有三種不同的型號，具有極詳細的分辨率和非常透明的聲音。,2020/4/22 15:44,2020/4/27 14:37
13,DT 240 PRO,beyerdynamic_4.jpg,1,beyerdynamic,耳罩式耳機,2970,10,4,,緊湊的耳罩非常適合移動使用，並在任何環境下都能提供真實的錄音室性能：直接在現場檢查錄音並在回家時進行項目。,2020/4/22 15:44,2020/4/27 14:37
14,DT 1770 PRO,beyerdynamic_5.jpg,2,beyerdynamic,耳罩式耳機,17970,10,5,,這些基准設定的封閉式錄音室耳機結合了數十年的耳機生產專業知識和最新的Tesla驅動技術。除了高分辨率和均衡的聲音外，beyerdynamic DT 1770 PRO耳機還樹立了新標準，尤其是在舒適性和工藝上。,2020/4/22 15:44,2020/4/27 14:37
